表章項目,銘柄(H27年基準）,地域,時間軸（月）,2019年5月,注釈,2019年4月,注釈,2019年3月,注釈,2019年2月,注釈,2019年1月,注釈,2018年12月,注釈,2018年11月,注釈,2018年10月,注釈,2018年9月,注釈,2018年8月,注釈,2018年7月,注釈,2018年6月,注釈,2018年5月,注釈,2018年4月,注釈,2018年3月,注釈,2018年2月,注釈,2018年1月,注釈,2017年12月,注釈,2017年11月,注釈,2017年10月,注釈,2017年9月,注釈,2017年8月,注釈,2017年7月,注釈,2017年6月,注釈,2017年5月,注釈,2017年4月,注釈,2017年3月,注釈,2017年2月,注釈,2017年1月,注釈,2016年12月,注釈,2016年11月,注釈,2016年10月,注釈,2016年9月,注釈,2016年8月,注釈,2016年7月,注釈,2016年6月,注釈,2016年5月,注釈,2016年4月,注釈,2016年3月,注釈,2016年2月,注釈,2016年1月,注釈,2015年12月,注釈,2015年11月,注釈,2015年10月,注釈,2015年9月,注釈,2015年8月,注釈,2015年7月,注釈,2015年6月,注釈,2015年5月,注釈,2015年4月,注釈,2015年3月,注釈,2015年2月,注釈,2015年1月,注釈
価格,9013 テレビ(液晶),仙台市,,56009,,58687,,57360,,60116,,51712,,50627,,52261,,51565,,50916,,48778,,47488,,46916,,44626,,43651,,51127,,48178,,47387,,45710,,56177,,53885,,43096,,43231,,48673,,45465,,47283,,46039,,43857,,46384,,49049,,47478,,48865,,49107,,48086,,48361,,50631,,50302,,50920,,53366,,53429,,56589,,55624,,62013,,62953,,64334,,59883,,58103,,58927,,54742,,50106,,50296,,50782,,52587,,53524,
価格,9013 テレビ(液晶),特別区部,,47356,,49179,,48371,,49297,,49304,,48683,,49657,,49732,,43245,,44829,,45982,,48166,,44939,,45928,,49619,,49317,,49685,,51909,,55288,,53973,,51962,,44395,,47279,,45943,,48812,,50643,,47717,,50647,,50853,,51680,,51239,,50211,,49741,,51352,,54899,,53460,,53059,,55064,,55127,,55354,,51152,,58388,,63392,,63717,,62991,,57607,,58352,,57003,,52790,,49675,,49286,,48810,,44917,
